-72.940 -13.595 
79  4 9 7 11 10 13 12 17 19 15 46 14 58 13 61 17 62 2 74 4 95 10 96 8 122 10 141 14 146 6 147 19 155 6 159 15 172 19 179 2 183 19 201 10 212 8 225 19 235 11 237 4 249 4 283 2 298 6 318 1 338 2 341 12 350 4 355 7 377 12 386 11 394 18 403 10 404 9 405 14 408 6 410 14 430 6 441 16 445 14 449 15 462 17 464 19 479 13 513 18 517 12 523 2 528 13 529 5 538 16 540 14 567 17 577 16 584 13 594 10 609 15 614 2 632 13 640 10 663 0 681 17 682 15 690 13 691 0 705 8 707 1 709 4 714 10 725 10 727 2 728 10 760 2 781 18 782 18 
 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
-76.267 -14.194 
347 0.000 -0.19813 
205 10.000 0.15220 
522 10.000 0.41404 
400 0.000 -0.28154 
307 2.515 -0.08665 
679 10.000 0.07835 
645 0.000 -0.34316 
443 0.000 -0.23802 
269 0.000 -0.19516 
703 0.000 -0.42469 
332 0.872 0.05070 
214 0.000 -0.12951 
759 0.000 -0.07798 
258 0.000 -0.37602 
683 0.000 -0.15425 
16 0.000 -0.36290 
845 10.000 1.28936 
852 10.000 2.02680 
